Date,DayOfWeek,DayType,TotalOrders,Beef Bulalo,Pancit Bihon Guisado,Crispy Chicharon Bulaklak,Crispy Dinakdakan,Crispy Sisig Barkada,Calamares,Pancit Canton Guisado,Shanghai,Garlic Butter Bangus,Crispy Bagnet,CM1 Egg + Rice + Hungarian + Sisig,CM2 Egg + Rice + Nuggets + Sisig,CM3 Egg + Rice + Shanghai + Sisig,CM4 Egg + Rice + Bagnet + Nuggets,CM5 Egg + Rice + Bagnet + Sisig,CM6 Egg + Rice + Hotdog + Sisig,CM7 Egg + Rice + Bagnet + Hotdog,CM8 Egg + Rice + Bagnet + Hungarian,Sisilog,Bagnetsilog,Hungarian Silog,Shanghaisilog,Nuggets Silog,Hotsilog,Siomaisilog,Siomairice,Dinakdakansilog,Chicksilog,Bangsilog,Porksilog,4 in 1,Double Cheese,Shawarma,Hawaiian,Beefy Mushroom,Ham and Cheese,Bacon,Pepperoni,Sarap,exported_at
2022-01-01,Saturday,Weekend,436,5,32,17,11,4,2,1,25,11,21,0,45,26,4,2,2,5,9,6,5,14,2,5,6,6,20,4,9,12,1,11,2,1,33,34,26,5,1,11,2026-06-19 12:57:02
2022-01-02,Sunday,Weekend,259,4,1,6,0,24,1,7,3,4,7,1,22,9,15,15,6,14,1,1,0,3,3,2,13,3,2,5,1,9,1,25,8,1,0,12,10,9,10,1,2026-06-19 12:57:02
2022-01-03,Monday,Weekday,150,2,1,8,5,3,0,2,2,6,7,10,3,1,6,6,3,6,3,4,3,0,1,0,5,2,3,10,1,2,5,1,0,1,1,10,9,4,8,6,2026-06-19 12:57:02
2022-01-04,Tuesday,Weekday,191,2,9,3,8,17,2,1,1,2,12,12,0,3,2,1,1,3,15,3,4,5,3,17,16,1,3,3,1,0,4,3,0,1,9,1,2,4,16,1,2026-06-19 12:57:02
2022-01-05,Wednesday,Weekday,201,7,8,1,7,4,5,5,5,0,15,2,1,0,5,7,0,5,1,5,1,6,3,16,1,2,1,15,12,1,6,7,4,4,1,0,18,13,5,2,2026-06-19 12:57:02
2022-01-06,Thursday,Weekday,219,3,7,15,11,13,6,0,1,14,6,0,0,8,0,1,6,7,7,1,7,1,2,8,7,11,5,6,0,2,1,1,18,2,10,7,13,4,4,4,2026-06-19 12:57:02
2022-01-07,Friday,Weekday,236,2,5,2,0,7,1,11,17,11,2,0,14,3,17,17,8,1,3,7,2,1,4,12,7,5,0,3,22,0,3,8,6,5,6,1,2,7,5,9,2026-06-19 12:57:02
2022-01-08,Saturday,Weekend,349,20,7,8,17,14,9,17,23,5,8,1,10,0,6,9,3,10,0,0,20,5,2,9,16,2,11,1,1,8,10,9,10,30,6,4,27,4,6,1,2026-06-19 12:57:02
2022-01-09,Sunday,Weekend,340,0,25,19,14,10,2,2,3,11,20,11,3,38,14,9,13,5,3,6,17,0,2,1,1,21,12,8,1,7,9,2,6,5,8,10,1,5,9,7,2026-06-19 12:57:02
2022-01-10,Monday,Weekday,166,8,4,1,0,9,0,5,12,3,3,5,3,5,12,2,15,10,1,0,0,0,0,4,0,2,8,0,9,1,1,5,3,8,5,7,2,1,5,7,2026-06-19 12:57:02
2022-01-11,Tuesday,Weekday,219,21,2,3,8,4,11,8,3,5,10,0,12,4,8,1,10,3,0,10,0,1,16,14,4,6,3,1,1,5,7,7,6,0,3,0,6,3,10,3,2026-06-19 12:57:02
2022-01-12,Wednesday,Weekday,218,2,2,8,7,0,0,7,0,9,10,0,0,21,3,3,8,16,23,9,3,0,7,3,3,10,1,4,0,4,0,1,1,4,7,5,24,3,1,9,2026-06-19 12:57:02
2022-01-13,Thursday,Weekday,217,2,12,0,16,0,8,3,19,0,6,15,3,4,5,3,5,4,10,0,2,13,9,3,4,1,1,3,1,4,0,11,16,5,3,1,10,5,1,9,2026-06-19 12:57:02
2022-01-14,Friday,Weekday,241,6,10,6,5,3,8,7,0,0,2,9,17,0,4,1,13,9,8,3,1,1,0,8,7,32,23,3,5,11,7,1,3,0,11,5,3,5,3,1,2026-06-19 12:57:02
2022-01-15,Saturday,Weekend,354,1,9,8,16,11,16,6,8,18,6,1,0,13,9,9,2,2,0,3,8,4,5,20,3,6,12,5,8,16,26,2,23,5,3,6,48,7,3,6,2026-06-19 12:57:02
2022-01-16,Sunday,Weekend,201,2,1,1,1,3,1,10,1,3,28,5,8,2,2,1,2,3,2,1,1,5,2,4,6,11,1,12,8,1,18,16,1,3,12,12,2,2,3,4,2026-06-19 12:57:02
2022-01-17,Monday,Weekday,151,5,2,3,6,0,2,6,10,3,5,1,3,4,1,2,3,0,1,1,2,1,11,5,5,8,4,0,3,4,8,2,1,2,2,6,6,2,17,4,2026-06-19 12:57:02
2022-01-18,Tuesday,Weekday,319,2,0,1,4,3,2,5,2,25,0,7,6,42,2,6,42,21,15,4,2,11,23,9,9,3,14,2,3,6,6,3,2,9,3,9,3,7,6,0,2026-06-19 12:57:02
2022-01-19,Wednesday,Weekday,278,1,0,0,28,6,10,2,9,11,10,5,4,3,18,11,23,2,7,18,1,0,9,6,13,2,10,2,1,2,12,5,5,3,11,3,16,3,2,4,2026-06-19 12:57:02
2022-01-20,Thursday,Weekday,304,1,6,4,1,30,3,6,20,9,2,21,8,3,1,12,9,6,18,11,2,3,2,12,0,7,11,19,3,14,2,12,1,3,11,2,2,12,9,6,2026-06-19 12:57:02
2022-01-21,Friday,Weekday,365,5,4,2,5,3,18,6,4,4,31,1,7,6,7,0,17,21,6,9,24,11,3,7,9,4,12,20,19,5,0,24,12,1,20,16,11,7,4,0,2026-06-19 12:57:02
2022-01-22,Saturday,Weekend,601,6,26,0,8,11,13,48,7,7,34,9,5,10,2,3,12,9,48,8,14,17,0,18,2,56,3,9,1,105,11,12,1,23,3,40,7,3,0,10,2026-06-19 12:57:02
2022-01-23,Sunday,Weekend,203,5,1,10,5,7,3,4,5,1,2,13,20,4,2,6,4,0,1,11,8,0,2,2,9,0,1,12,2,8,2,1,2,7,12,15,5,8,1,2,2026-06-19 12:57:02
2022-01-24,Monday,Weekday,247,12,0,0,1,0,1,5,4,16,15,3,1,2,5,2,8,4,5,5,3,19,9,1,13,4,14,12,4,0,3,3,6,1,1,12,45,5,1,2,2026-06-19 12:57:02
2022-01-25,Tuesday,Weekday,183,0,11,1,5,3,3,5,10,1,0,1,13,12,6,5,8,1,15,3,2,5,0,1,6,0,5,1,3,3,3,6,2,3,3,6,20,10,1,0,2026-06-19 12:57:02
2022-01-26,Wednesday,Weekday,142,0,3,0,3,6,1,4,0,0,6,3,5,2,1,5,7,4,1,3,2,0,9,1,9,2,1,3,8,5,6,3,4,6,1,2,1,17,8,0,2026-06-19 12:57:02
2022-01-27,Thursday,Weekday,144,2,6,1,2,13,0,4,1,9,16,9,2,6,6,1,5,0,3,1,1,0,4,2,4,0,1,3,5,1,3,6,3,1,0,7,0,7,2,7,2026-06-19 12:57:02
2022-01-28,Friday,Weekday,253,5,23,2,8,4,2,5,11,22,9,3,3,6,2,0,2,1,2,2,0,0,20,3,3,6,1,16,7,0,3,9,15,3,4,1,31,2,13,4,2026-06-19 12:57:02
2022-01-29,Saturday,Weekend,420,7,5,1,2,3,2,18,5,1,44,24,27,46,2,5,13,13,2,20,2,2,6,8,9,1,23,4,1,25,31,13,14,8,6,1,8,5,2,11,2026-06-19 12:57:02
2022-01-30,Sunday,Weekend,406,6,1,2,11,2,14,8,8,10,24,3,13,8,3,24,15,11,19,19,11,16,11,10,9,15,2,17,20,0,19,1,4,11,2,18,28,9,0,2,2026-06-19 12:57:02
2022-01-31,Monday,Weekday,148,3,11,3,1,6,2,6,0,5,4,11,2,3,9,0,10,4,0,1,4,0,3,2,4,0,6,13,10,4,1,5,0,0,1,2,7,3,1,1,2026-06-19 12:57:02
2022-02-01,Tuesday,Weekday,174,17,1,2,1,9,4,1,0,4,6,1,12,1,2,11,1,5,2,1,17,2,8,1,1,0,4,2,7,2,13,1,7,5,5,7,6,4,1,0,2026-06-19 12:57:02
2022-02-02,Wednesday,Weekday,187,13,5,10,5,2,1,7,4,1,6,0,5,2,9,2,5,0,0,2,4,6,2,8,13,8,0,4,1,3,29,1,4,5,7,5,0,3,4,1,2026-06-19 12:57:02
2022-02-03,Thursday,Weekday,158,2,1,1,2,1,3,5,7,1,1,1,5,5,0,13,0,4,5,10,5,7,2,8,0,10,3,9,2,4,3,5,0,0,1,1,15,1,14,1,2026-06-19 12:57:02
2022-02-04,Friday,Weekday,148,1,4,3,2,4,3,1,18,12,5,1,3,0,0,1,2,6,5,6,2,1,2,13,0,7,3,2,4,2,5,5,2,1,2,8,2,3,3,4,2026-06-19 12:57:02
2022-02-05,Saturday,Weekend,284,2,8,20,1,3,25,2,17,5,4,14,5,6,3,8,1,5,33,2,11,3,13,1,27,4,2,1,1,6,4,12,3,2,8,11,2,1,0,8,2026-06-19 12:57:02
2022-02-06,Sunday,Weekend,397,8,4,19,16,14,17,2,1,4,2,8,27,0,1,6,22,5,7,0,2,42,26,0,29,10,23,6,6,7,12,1,0,3,11,2,13,33,1,7,2026-06-19 12:57:02
2022-02-07,Monday,Weekday,159,2,5,1,4,9,7,3,2,3,8,3,0,8,3,4,1,3,2,3,0,3,23,0,12,2,5,4,3,4,6,2,1,2,4,5,7,2,3,0,2026-06-19 12:57:02
2022-02-08,Tuesday,Weekday,178,5,1,2,3,5,6,2,3,2,5,1,0,4,7,6,3,3,11,4,4,0,2,3,3,6,4,4,9,11,7,12,0,1,0,6,19,2,12,0,2026-06-19 12:57:02
2022-02-09,Wednesday,Weekday,192,11,2,0,4,2,2,3,9,5,3,5,7,1,2,1,1,6,1,3,9,1,5,1,21,3,8,5,0,6,16,4,8,11,1,1,6,2,7,9,2026-06-19 12:57:02
2022-02-10,Thursday,Weekday,264,1,1,11,3,18,4,9,2,7,6,7,2,12,16,2,2,0,8,7,6,1,5,8,5,31,2,9,5,4,10,7,26,1,1,10,12,3,0,0,2026-06-19 12:57:02
2022-02-11,Friday,Weekday,376,19,2,6,3,7,0,7,0,17,2,9,25,11,6,4,4,13,58,11,7,11,7,0,7,28,3,13,3,9,0,5,11,4,10,15,33,1,4,1,2026-06-19 12:57:02
2022-02-12,Saturday,Weekend,412,27,18,5,17,9,6,1,13,1,18,13,10,0,4,3,4,1,21,8,3,4,5,8,6,23,6,46,17,2,25,1,13,4,14,18,19,15,3,1,2026-06-19 12:57:02
2022-02-13,Sunday,Weekend,318,3,1,9,3,43,6,15,1,15,29,6,7,11,2,5,3,2,4,1,0,1,29,6,23,4,3,5,4,1,8,1,7,6,1,1,14,5,1,32,2026-06-19 12:57:02
2022-02-14,Monday,Weekday,165,0,5,21,1,2,1,2,1,5,0,2,24,7,4,2,4,4,3,1,12,3,1,2,3,8,6,8,0,2,2,0,1,6,1,4,2,0,1,14,2026-06-19 12:57:02
2022-02-15,Tuesday,Weekday,232,8,16,3,1,7,3,12,0,4,2,2,9,3,2,3,3,11,15,19,10,2,6,4,1,12,0,14,5,6,7,11,5,4,0,3,1,9,3,6,2026-06-19 12:57:02
2022-02-16,Wednesday,Weekday,175,1,1,5,0,0,0,19,7,3,2,2,8,5,1,1,1,4,7,2,0,0,11,2,6,6,2,1,1,4,8,4,3,0,16,7,2,25,4,4,2026-06-19 12:57:02
2022-02-17,Thursday,Weekday,185,4,6,5,1,4,9,1,2,2,4,5,12,1,0,1,9,5,1,7,8,8,10,1,6,3,8,6,7,5,1,3,14,10,0,1,2,6,6,1,2026-06-19 12:57:02
2022-02-18,Friday,Weekday,199,4,7,6,5,8,3,3,5,5,14,6,8,1,4,0,1,7,29,0,2,7,1,5,8,4,1,2,8,6,0,6,0,6,1,17,3,3,1,2,2026-06-19 12:57:02
2022-02-19,Saturday,Weekend,579,27,78,7,9,27,27,16,8,10,28,0,12,7,24,1,13,10,17,1,14,13,16,16,17,31,5,28,11,1,1,5,18,18,22,12,13,4,5,7,2026-06-19 12:57:02
2022-02-20,Sunday,Weekend,398,2,3,10,12,91,20,9,6,9,23,1,4,18,5,7,8,2,5,4,0,0,17,2,7,4,26,3,6,24,18,2,13,5,6,1,2,13,5,5,2026-06-19 12:57:02
2022-02-21,Monday,Weekday,148,5,5,2,4,1,4,5,13,0,0,1,1,1,10,1,1,6,3,7,0,3,0,0,8,1,3,2,2,10,0,4,10,3,10,0,2,1,4,15,2026-06-19 12:57:02
2022-02-22,Tuesday,Weekday,199,4,5,1,4,6,19,6,3,1,2,1,2,12,4,5,1,10,7,0,8,5,0,4,3,1,20,12,7,4,3,5,5,0,4,10,5,0,9,1,2026-06-19 12:57:02
2022-02-23,Wednesday,Weekday,203,2,1,3,7,6,1,11,10,10,2,3,21,8,0,0,2,12,4,4,0,5,7,3,7,17,1,4,1,6,4,4,6,2,11,4,2,5,5,2,2026-06-19 12:57:02
2022-02-24,Thursday,Weekday,216,8,9,1,19,2,1,1,10,5,2,3,6,0,10,7,5,16,3,17,5,6,1,8,2,1,0,5,4,6,13,0,6,1,9,9,6,6,1,2,2026-06-19 12:57:02
2022-02-25,Friday,Weekday,283,13,5,3,5,20,3,1,10,16,2,2,1,4,4,12,9,9,3,15,4,34,9,2,10,4,12,0,2,19,1,12,4,7,10,6,5,2,0,3,2026-06-19 12:57:02
2022-02-26,Saturday,Weekend,565,12,30,23,16,28,9,4,29,13,15,1,8,7,26,10,6,44,1,7,0,17,29,3,29,4,27,19,21,0,37,15,5,16,3,26,2,15,7,1,2026-06-19 12:57:02
2022-02-27,Sunday,Weekend,652,6,0,11,4,22,5,5,22,0,58,34,21,16,36,3,1,5,25,0,16,83,34,14,2,23,16,1,2,42,17,22,28,12,10,9,8,11,18,10,2026-06-19 12:57:02
2022-02-28,Monday,Weekday,376,27,8,17,15,17,12,5,10,2,8,9,11,44,11,16,8,13,0,5,7,8,0,2,5,49,3,10,3,12,5,2,7,0,0,3,0,2,3,17,2026-06-19 12:57:02
